"","SurveyNum","Time","Spp","Size","ID","lat","long"
"13011",45,"11:27","PRBI","5","263",10.4882002529,124.02870771
"13151",49,"11:04","APCL","8","265",10.173176773825,124.74944574975
"13171",49,"11:13","APCL","12","268",10.173133208875,124.74953482875
"13181",49,"11:20","APCL","9","270",10.173175914675,124.74964871775
"13381",50,"13:49","APCL","10","283",10.172489499675,124.751091411
"14181",55,"13:11","APCL","10","302",10.0074805878,125.029367453
"14191",55,"13:19","APCL","4","287",10.0074242195,125.02934381575
"14211",55,"13:45","APCL","11","291",10.007452697025,125.0293585475
"14231",55,"13:56","APCL","4","294",10.007327639025,125.02931980175
"14241",55,"14:00","APCL","10","296",10.007251740925,125.0293402535
"1431",55,"15:25","APCL","9","305",10.007749500225,125.02929828125
"15771",57,"13:02","APCL","10","307",9.962226944045,125.2236915685
"15791",57,"13:17","APCL","7","310",9.9622600106525,125.2237803325
